Id,Company,Close date,Status,Funding (equity),Funding (debt),Valuation (post-money),Report date,Source 1,Source 2,Source 3,Graph note,Notes,Type,Confidence,Exclude from graph view
Amazon Nov 2024,Anthropic,2024-11-24,Closed,4000000000.0,,,2024-11-24,https://www.anthropic.com/news/anthropic-amazon-trainium,,,,"""This expanded partnership includes a new $4 billion investment from Amazon and establishes AWS as our primary cloud and training partner. This will bring Amazon's total investment in Anthropic to $8 billion, while maintaining their position as a minority investor.""

Valuation not disclosed, but Amazon has consistently been a minority investor",Primary,Likely,
Google 1B 2025,Anthropic,2025-03-01,Closed,1000000000.0,,,2025-01-22,https://www.ft.com/content/ed631513-dd37-44a3-a536-b2002f5727cc,,,,"Google most likely invested around 1B in Anthropic in early 2025:

FT reported that Google would invest an additional 1B in January 2025

NYT reported in March that Google has invested over 3B in Anthropic (including a previous 2B funding round), and that it holds a 14% stake in Anthropic.

https://www.nytimes.com/2025/03/11/technology/google-investment-anthropic.html ",Primary,Likely,
Mar 2025 61.5B Series E,Anthropic,2025-03-03,Closed,3500000000.0,,61500000000.0,,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,,,,"""Anthropic has raised $3.5 billion at a $61.5 billion post-money valuation. The round was led by Lightspeed Venture Partners, with participation from Bessemer Venture Partners, Cisco Investments, D1 Capital Partners, Fidelity Management & Research Company, General Catalyst, Jane Street, Menlo Ventures and Salesforce Ventures, among other new and existing investors.""",Primary,Confident,
Mar 2025 80B X merger,xAI,2025-03-28,Closed,0.0,,113000000000.0,2025-03-28,https://www.cnbc.com/2025/03/28/elon-musk-says-xai-has-acquired-x-in-deal-that-values-social-media-site-at-33-billion.html,,,"Valuation includes value of X, formerly Twitter (~33B)","All stock deal so no cash changed hands. It is unclear how seriously to take this valuation, given the overlap in xAI and X shareholders, especially Musk: X shareholders sold X to xAI in exchange for xAI shares, but many X shareholders were xAI investors to begin with. 

""Confident"" that the reported details of the deal are correct.

""Elon Musk said on Friday that his startup xAI has merged with X, his social network, in an all-stock transaction that values the artificial intelligence company at $80 billion and the social media company at $33 billion...
Because both companies are privately held and controlled by Musk, the transaction likely amounts to a stock swap, with X investors getting paid out in xAI shares. The companies have a number of mutual investors, including venture firms Andreessen Horowitz and Sequoia Capital, as well as Fidelity Management, Vy Capital and Saudi Arabia’s Kingdom Holding Co.""",Other,Confident,
Mar 2025 300B Stage 1,OpenAI,2025-03-31,Closed,10000000000.0,,300000000000.0,2025-03-31,https://www.cnbc.com/2025/03/31/openai-closes-40-billion-in-funding-the-largest-private-fundraise-in-history-softbank-chatgpt.html,https://openai.com/index/march-funding-updates/ ,,,"Initially 10B, with the remaining 30B coming later. Arguably the interim post-money valuation is $270B, but I'll record them all as 300B for simplicity.

""The round comes to $30 billion from SoftBank and $10 billion from a syndicate of investors.""

This record represents the first phase of the full round, since the money is changing hands at multiple stages. 

Also, it is subject to revision based on OAI's nonprofit status.

""The initial funding will be $10 billion, followed by the remaining $30 billion by the end of 2025, the person said. But the round comes with a caveat. SoftBank said in an updated disclosure on Monday that its total investment could be slashed to as low as $20 billion if OpenAI doesn’t restructure into a for-profit entity by Dec. 31.""

OpenAI announcement here, which does not mention the multiple stages. 

https://openai.com/index/march-funding-updates/ ",Primary,Likely,
June 2025 10B Raise,xAI,2025-06-30,Closed,5000000000.0,5000000000.0,150000000000.0,2025-08-01,https://www.cnbc.com/2025/07/01/elon-musk-xai-raises-10-billion-in-debt-and-equity.html,https://www.cnbc.com/2025/09/19/musks-xai-10-billion-at-200-billion-valuation.html,,"Valuation includes value of X, formerly Twitter (~33B)","""XAI, the artificial intelligence startup run by Elon Musk, has raised a combined $10 billion in debt and equity, Morgan Stanley said.

Half of that sum was clinched through secured notes and term loans, while a separate $5 billion was secured through strategic equity investment, the bank said Monday.""

CNBC reports that the valuation is ""believed to be"" $150B, but this is not certain: ""The fundraising comes weeks after Musk raised $10 billion in debt and equity at what was believed to be a roughly $150 billion valuation, according to Faber""","Primary,Debt",Likely,
300B Stage 2,OpenAI,2025-08-01,Closed,8300000000.0,,300000000000.0,2025-08-01,https://www.nytimes.com/2025/08/01/business/dealbook/openai-ai-mega-funding-deal.html,,,,"This is the second tranche of OAI's 40B/300B mega-round led by Softbank, which was initially intended to take place in 10B and 30B stages. Widely reported but not announced by OAI.

""OpenAI has raised $8.3 billion at a $300 billion valuation, months ahead of schedule, as part of its plan to secure $40 billion in funding this year, DealBook has learned.
...
A wave of new investors participated in the round, including the private equity giants Blackstone and TPG, and the mutual fund manager T. Rowe Price. Other participants include Fidelity Management, Founders Fund, Sequoia Capital, Andreessen Horowitz, Coatue Management, Altimeter Capital, D1 Capital Partners, Tiger Global and Thrive Capital.
...
The biggest investor was Dragoneer Investment Group, which committed $2.8 billion, an astonishing check from a single venture capital firm that may be one of the largest ever written.
""",Primary,Likely,
Sep 2025 183B Series F,Anthropic,2025-09-02,Closed,13000000000.0,,183000000000.0,2025-09-02,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,,,,"170B initial reported round + 13B funding = 183B

""Anthropic has completed a Series F fundraising of $13 billion led by ICONIQ. This financing values Anthropic at $183 billion post-money. Along with ICONIQ, the round was co-led by Fidelity Management & Research Company and Lightspeed Venture Partners. The investment reflects Anthropic’s continued momentum and reinforces our position as the leading intelligence platform for enterprises, developers, and power users.

Significant investors in this round include Altimeter, Baillie Gifford, affiliated funds of BlackRock, Blackstone, Coatue, D1 Capital Partners, General Atlantic, General Catalyst, GIC, Growth Equity at Goldman Sachs Alternatives, Insight Partners, Jane Street, Ontario Teachers' Pension Plan, Qatar Investment Authority, TPG, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., WCM Investment Management, and XN.""",Primary,Confident,
Sep 2025 Series C,Mistral AI,2025-09-09,Closed,1990000000.0,,13700000000.0,2025-08-05,https://mistral.ai/news/mistral-ai-raises-1-7-b-to-accelerate-technological-progress-with-ai,,,,"""We are announcing a Series C funding round of 1.7B€ at a 11.7B€ post-money valuation. This investment fuels our scientific research to keep pushing the frontier of AI to tackle the most critical and sophisticated technological challenges faced by strategic industries.""

Using 1.17 EUR to USD (as of September 9), this is $1.99B on a valuation of 13.7B USD

https://www.bloomberg.com/quote/EURUSD:CUR 
",Primary,Confident,
2025 500B tender,OpenAI,2025-10-01,Closed,0.0,,500000000000.0,2025-10-02,https://www.wsj.com/tech/ai/openai-valuation-hits-500-billion-while-altman-signs-more-deals-in-asia-59b47a0d,https://www.bloomberg.com/news/articles/2025-10-02/openai-completes-share-sale-at-record-500-billion-valuation,,,"OpenAI reportedly closed a secondary sale at a valuation of $500B. Reported in multiple outlets on Oct 2.

From WSJ summary: ""OpenAI finalized a deal valuing the company at approximately $500 billion, with investors buying employee shares for about $6.6 billion.""",Secondary,Confident,
